"","dead","dvcat","seatbelt","frontal","sex","ageOFocc","yearVeh","airbag","occRole"
"8381","alive","10-24","belted","notfrontal","m",25,1983,"none","driver"
"10412","alive","1-9km/h","belted","notfrontal","m",52,1993,"none","driver"
"12384","alive","25-39","belted","notfrontal","m",25,1985,"none","driver"
"18685","alive","40-54","belted","frontal","f",47,1993,"none","driver"
"10636","alive","25-39","belted","frontal","m",56,1994,"airbag","driver"
"21684","alive","10-24","belted","notfrontal","m",78,2000,"airbag","pass"
"8902","alive","25-39","none","frontal","m",31,1992,"none","driver"
"19414","alive","10-24","none","notfrontal","m",28,1989,"none","driver"
"7231","alive","25-39","belted","notfrontal","m",19,1991,"airbag","driver"
"25067","alive","10-24","belted","frontal","m",17,1996,"airbag","pass"
"15930","dead","40-54","none","notfrontal","f",35,1997,"airbag","pass"
"11268","alive","1-9km/h","belted","notfrontal","f",47,1997,"airbag","driver"
"24443","alive","25-39","none","frontal","m",29,1999,"airbag","driver"
"21694","alive","40-54","belted","frontal","m",41,1999,"airbag","driver"
"7424","alive","25-39","belted","frontal","m",36,1998,"airbag","driver"
"22289","alive","10-24","belted","frontal","m",55,1999,"airbag","driver"
"20696","alive","10-24","none","notfrontal","m",17,1989,"none","driver"
"21020","alive","25-39","none","frontal","m",62,1985,"none","driver"
"2576","alive","40-54","belted","notfrontal","f",28,1992,"airbag","driver"
"16322","alive","25-39","belted","notfrontal","f",16,1991,"none","pass"
"22688","dead","40-54","none","frontal","f",29,2002,"airbag","pass"
"3393","alive","25-39","belted","notfrontal","f",43,1992,"none","driver"
"21178","alive","25-39","belted","frontal","f",33,1990,"none","driver"
"548","alive","40-54","none","frontal","m",23,1997,"airbag","driver"
"19040","alive","10-24","belted","frontal","f",25,1999,"airbag","driver"
"25576","alive","40-54","belted","notfrontal","m",28,1992,"none","pass"
"23915","alive","25-39","belted","frontal","m",28,2000,"airbag","driver"
"24779","alive","10-24","belted","frontal","m",59,2002,"airbag","driver"
"12217","alive","25-39","none","frontal","m",32,1990,"none","driver"
"4020","alive","40-54","belted","frontal","f",30,1997,"airbag","driver"
"8684","alive","10-24","belted","frontal","f",38,1993,"none","driver"
"1592","alive","10-24","none","frontal","m",36,1992,"none","driver"
"5490","alive","25-39","belted","frontal","m",88,1990,"none","driver"
"12917","alive","25-39","belted","frontal","m",60,1997,"none","driver"
"22965","alive","25-39","belted","notfrontal","m",42,1991,"none","driver"
"12970","alive","55+","belted","notfrontal","m",20,1997,"airbag","driver"
"20157","alive","25-39","belted","notfrontal","m",18,1997,"airbag","driver"
"24180","alive","10-24","belted","notfrontal","f",39,1998,"airbag","driver"
"7448","alive","10-24","belted","notfrontal","f",57,1998,"airbag","driver"
"8972","alive","40-54","none","frontal","m",20,1985,"none","driver"
"13234","alive","25-39","none","frontal","f",67,1995,"airbag","pass"
"11008","alive","25-39","none","notfrontal","m",49,1984,"none","driver"
"2806","alive","40-54","belted","frontal","m",22,1992,"none","driver"
"23538","alive","40-54","belted","notfrontal","f",27,1991,"none","pass"
"5384","alive","25-39","none","frontal","m",41,1990,"none","driver"
"8864","alive","25-39","none","notfrontal","f",79,1987,"none","driver"
"18094","alive","10-24","belted","notfrontal","f",50,1991,"none","driver"
"4312","alive","10-24","belted","frontal","f",17,1998,"airbag","driver"
"11211","dead","55+","none","frontal","m",29,1996,"airbag","driver"
"463","alive","25-39","belted","frontal","f",20,1984,"none","driver"
"14349","alive","40-54","none","notfrontal","m",44,1988,"none","pass"
"5300","alive","25-39","belted","frontal","m",49,1997,"airbag","pass"
"4096","alive","10-24","belted","frontal","f",38,1995,"airbag","pass"
"26082","alive","10-24","belted","frontal","m",33,1997,"airbag","driver"
"8234","alive","10-24","belted","notfrontal","f",40,1990,"none","driver"
"9974","alive","10-24","belted","notfrontal","f",82,1994,"airbag","driver"
"9143","alive","10-24","belted","notfrontal","m",38,1996,"airbag","driver"
"25586","alive","10-24","belted","frontal","f",32,1999,"airbag","driver"
"10079","alive","10-24","belted","frontal","f",75,1996,"airbag","driver"
"12498","alive","25-39","belted","frontal","m",29,1998,"airbag","driver"
"10232","alive","25-39","belted","frontal","m",21,1996,"airbag","pass"
"11072","alive","40-54","belted","frontal","f",27,1990,"none","driver"
"4697","alive","25-39","none","frontal","m",29,1998,"airbag","driver"
"15540","alive","10-24","belted","notfrontal","f",80,1991,"airbag","driver"
"9928","alive","10-24","belted","frontal","f",46,1989,"none","driver"
"2215","alive","10-24","none","frontal","m",35,1989,"none","driver"
"10800","alive","1-9km/h","belted","notfrontal","m",36,1997,"airbag","pass"
"12413","alive","10-24","belted","notfrontal","m",37,1996,"airbag","driver"
"14360","alive","10-24","belted","notfrontal","m",73,1989,"none","driver"
"15730","alive","10-24","belted","notfrontal","m",37,1999,"airbag","driver"
"6648","alive","10-24","none","frontal","m",28,1992,"none","driver"
"24499","dead","40-54","belted","notfrontal","m",54,1990,"none","driver"
"19392","alive","25-39","belted","frontal","m",51,2000,"airbag","driver"
"7030","alive","10-24","belted","frontal","m",19,1997,"airbag","driver"
"4246","alive","10-24","belted","frontal","f",43,1988,"none","driver"
"11843","dead","25-39","belted","notfrontal","m",70,1995,"airbag","pass"
"24466","alive","10-24","belted","frontal","m",18,1990,"none","pass"
"3270","alive","55+","belted","frontal","f",44,1996,"airbag","driver"
"11878","alive","25-39","none","frontal","f",18,1990,"none","pass"
"23296","alive","40-54","none","notfrontal","f",68,1994,"airbag","driver"
"20806","alive","10-24","belted","frontal","f",45,2000,"airbag","driver"
"16546","alive","10-24","belted","notfrontal","f",19,1987,"none","driver"
"19389","alive","10-24","belted","notfrontal","m",64,1988,"none","driver"
"12771","alive","10-24","belted","frontal","f",51,1988,"none","driver"
"19227","alive","25-39","belted","frontal","f",35,1995,"airbag","pass"
"11380","alive","25-39","belted","frontal","m",43,1997,"airbag","driver"
"21270","dead","55+","none","frontal","f",74,1995,"airbag","driver"
"3371","alive","25-39","none","notfrontal","f",54,1986,"none","driver"
"18108","alive","10-24","belted","notfrontal","f",24,1996,"airbag","driver"
"14867","alive","10-24","none","notfrontal","f",88,1993,"airbag","driver"
"14970","alive","55+","none","frontal","m",45,1968,"none","driver"
"16931","alive","55+","belted","frontal","m",38,1999,"airbag","driver"
"24892","alive","10-24","none","frontal","m",25,2000,"airbag","driver"
"24917","alive","25-39","none","frontal","m",36,1999,"airbag","driver"
"6813","alive","10-24","belted","notfrontal","m",45,1995,"airbag","driver"
"20635","alive","10-24","belted","notfrontal","f",16,2001,"airbag","pass"
"4530","alive","25-39","none","frontal","m",71,1994,"airbag","driver"
"23768","alive","25-39","belted","frontal","m",21,1999,"airbag","driver"
"20148","alive","1-9km/h","belted","notfrontal","f",37,1998,"airbag","pass"
"18963","alive","10-24","none","frontal","f",40,1996,"airbag","driver"
"8314","alive","25-39","belted","frontal","f",37,1987,"none","driver"
"11208","alive","10-24","belted","notfrontal","m",26,1982,"none","driver"
"14396","alive","10-24","belted","notfrontal","m",60,1993,"none","driver"
"5068","alive","10-24","none","frontal","f",33,1986,"none","driver"
"17372","alive","10-24","belted","frontal","f",52,1996,"airbag","driver"
"18312","alive","10-24","belted","frontal","m",57,1998,"airbag","driver"
"16414","alive","10-24","none","frontal","m",18,1994,"airbag","driver"
"20547","alive","10-24","belted","frontal","f",48,1999,"airbag","driver"
"11416","alive","55+","none","frontal","m",40,1996,"airbag","driver"
"5073","alive","25-39","belted","notfrontal","m",67,1996,"airbag","driver"
"5002","alive","10-24","belted","notfrontal","f",48,1997,"airbag","driver"
"24702","alive","10-24","belted","frontal","f",23,2001,"airbag","driver"
"10366","dead","55+","belted","notfrontal","m",18,1995,"airbag","driver"
"16213","alive","10-24","belted","frontal","f",85,1994,"airbag","driver"
"14734","alive","25-39","belted","frontal","f",30,1999,"airbag","driver"
"9753","alive","55+","belted","frontal","m",18,1992,"none","driver"
"21233","alive","10-24","none","frontal","m",20,1987,"none","pass"
"2024","alive","10-24","belted","frontal","f",26,1993,"none","driver"
"20250","alive","25-39","belted","frontal","m",41,1997,"airbag","driver"
"8098","alive","10-24","belted","frontal","m",28,1977,"none","pass"
"16572","alive","55+","belted","frontal","m",20,1990,"none","driver"
"4976","alive","10-24","belted","notfrontal","f",51,1992,"airbag","driver"
"24685","alive","10-24","belted","notfrontal","m",32,1988,"none","driver"
"7534","alive","10-24","belted","frontal","m",18,1979,"none","driver"
"14056","alive","40-54","belted","frontal","m",53,1990,"none","driver"
"11367","alive","25-39","none","frontal","f",19,1988,"none","driver"
"13871","alive","10-24","belted","frontal","f",45,1997,"airbag","driver"
"11677","dead","55+","none","notfrontal","m",19,1986,"none","driver"
"17197","dead","55+","none","frontal","m",27,1995,"airbag","driver"
"6599","alive","25-39","belted","notfrontal","f",30,1993,"airbag","driver"
"10281","alive","10-24","none","notfrontal","f",41,1991,"none","driver"
"1040","alive","40-54","belted","frontal","f",23,1991,"none","pass"
"20656","alive","25-39","none","frontal","f",21,2000,"airbag","driver"
"4645","alive","10-24","none","frontal","m",24,1988,"none","driver"
"14882","alive","10-24","belted","frontal","f",36,1994,"none","driver"
"5049","alive","10-24","belted","notfrontal","f",48,1997,"airbag","pass"
"23389","alive","10-24","belted","frontal","f",20,2001,"airbag","driver"
"6645","alive","25-39","none","notfrontal","m",20,1989,"none","pass"
"2839","alive","10-24","belted","frontal","f",29,1998,"airbag","driver"
"13823","dead","10-24","none","notfrontal","m",29,1999,"airbag","driver"
"21896","alive","10-24","belted","frontal","f",39,1993,"none","driver"
"24464","alive","40-54","none","frontal","f",62,2001,"airbag","driver"
"15113","alive","10-24","belted","frontal","f",16,1992,"airbag","driver"
"12191","alive","40-54","none","frontal","f",18,1985,"none","driver"
"18728","alive","10-24","belted","frontal","m",68,1994,"airbag","driver"
"21661","alive","10-24","belted","notfrontal","f",62,2000,"airbag","pass"
"17513","alive","10-24","belted","frontal","m",72,2000,"airbag","driver"
"20771","alive","10-24","belted","notfrontal","f",28,2001,"airbag","driver"
"8361","alive","25-39","none","frontal","m",48,1989,"none","driver"
"23759","alive","10-24","belted","frontal","m",18,2002,"airbag","driver"
"24071","alive","10-24","belted","frontal","f",60,1986,"none","pass"
"818","alive","10-24","belted","notfrontal","m",47,1986,"none","driver"
"24549","alive","10-24","belted","frontal","f",22,2000,"airbag","pass"
"11838","alive","25-39","belted","frontal","m",76,1996,"airbag","driver"
"237","alive","10-24","belted","frontal","f",51,1988,"none","driver"
"18443","alive","1-9km/h","belted","frontal","m",46,2000,"airbag","driver"
"8788","alive","10-24","belted","frontal","f",32,1997,"airbag","driver"
"8707","alive","25-39","none","notfrontal","f",18,1994,"airbag","pass"
"25014","alive","25-39","belted","notfrontal","m",71,1985,"none","driver"
"6714","alive","10-24","belted","frontal","f",23,1995,"none","pass"
"25592","alive","10-24","belted","frontal","m",40,2000,"airbag","driver"
"2392","alive","10-24","none","frontal","f",20,1986,"none","pass"
"16837","alive","25-39","belted","frontal","m",19,1989,"none","driver"
"24658","alive","55+","none","frontal","f",19,2000,"airbag","driver"
"13927","alive","10-24","belted","frontal","f",33,1995,"airbag","driver"
"9796","alive","10-24","belted","notfrontal","f",18,1988,"none","driver"
"1556","alive","25-39","belted","frontal","m",32,1990,"none","driver"
"17627","alive","25-39","belted","frontal","f",31,2001,"airbag","driver"
"8206","alive","1-9km/h","belted","frontal","f",29,1986,"none","pass"
"805","alive","10-24","belted","frontal","m",19,1996,"airbag","driver"
"1539","alive","10-24","none","frontal","f",25,1997,"airbag","pass"
"13001","alive","10-24","belted","frontal","m",17,1988,"none","pass"
"21238","alive","25-39","none","frontal","f",77,1991,"none","driver"
"6053","alive","10-24","belted","notfrontal","f",16,1996,"airbag","pass"
"2327","alive","25-39","belted","frontal","m",23,1972,"none","driver"
"18322","alive","25-39","belted","frontal","f",35,1989,"none","driver"
"4108","alive","10-24","belted","notfrontal","m",22,1991,"airbag","pass"
"7105","alive","10-24","belted","frontal","m",35,1992,"none","driver"
"18488","alive","10-24","belted","notfrontal","f",49,1992,"none","driver"
"2852","alive","10-24","none","frontal","f",53,1993,"none","pass"
"25245","alive","10-24","belted","notfrontal","m",50,1986,"none","driver"
"9661","alive","10-24","belted","notfrontal","f",47,1992,"airbag","driver"
"6366","alive","40-54","belted","frontal","f",31,1998,"airbag","driver"
"16327","alive","10-24","none","notfrontal","m",50,1998,"airbag","driver"
"1266","alive","1-9km/h","belted","notfrontal","f",43,1982,"none","driver"
"24905","alive","10-24","belted","frontal","m",31,1990,"none","driver"
"20913","alive","25-39","belted","frontal","f",25,1999,"airbag","pass"
"4276","alive","10-24","belted","notfrontal","f",31,1996,"airbag","driver"
"18509","alive","40-54","belted","frontal","m",49,1991,"airbag","driver"
"13541","alive","10-24","belted","frontal","f",29,1997,"airbag","driver"
"11172","alive","25-39","belted","frontal","f",22,1999,"airbag","driver"
"25850","alive","25-39","belted","notfrontal","m",17,2001,"airbag","driver"
"19549","alive","10-24","belted","frontal","f",44,2002,"airbag","pass"
"19394","alive","10-24","none","notfrontal","m",17,1985,"none","pass"
"19861","alive","55+","belted","frontal","m",48,1998,"airbag","driver"
"12417","alive","25-39","none","frontal","m",18,1981,"none","driver"
"21536","alive","10-24","belted","frontal","f",31,1994,"airbag","driver"
"7309","alive","10-24","none","frontal","m",30,1988,"none","driver"
"22407","alive","10-24","belted","frontal","m",57,2000,"airbag","driver"
"23473","alive","10-24","belted","frontal","f",49,1998,"airbag","driver"
"24670","alive","10-24","belted","frontal","m",17,1991,"airbag","driver"
"2144","alive","10-24","belted","notfrontal","f",26,1996,"airbag","pass"
"9066","alive","10-24","none","frontal","m",28,1996,"airbag","driver"
"10105","alive","25-39","belted","frontal","f",84,1993,"none","pass"
"872","alive","10-24","none","frontal","m",20,1990,"airbag","driver"
"20881","alive","25-39","belted","frontal","f",32,1994,"none","pass"
"19722","alive","25-39","belted","frontal","f",62,1998,"airbag","pass"
"23346","alive","1-9km/h","belted","notfrontal","f",42,1999,"airbag","driver"
"26058","alive","10-24","belted","frontal","f",48,1991,"none","pass"
"7020","dead","40-54","belted","notfrontal","m",18,1998,"airbag","pass"
"6471","alive","10-24","belted","notfrontal","f",29,1995,"airbag","driver"
"15299","alive","10-24","belted","frontal","f",19,1992,"none","driver"
"24051","alive","40-54","belted","frontal","m",20,1995,"airbag","driver"
"13616","alive","10-24","belted","frontal","f",18,2000,"airbag","driver"
"3735","alive","25-39","belted","frontal","m",39,1996,"airbag","driver"
"13928","alive","25-39","belted","frontal","m",31,1995,"airbag","driver"
"183","alive","25-39","none","frontal","m",39,1984,"none","driver"
"11413","alive","10-24","none","notfrontal","m",30,1985,"none","pass"
"20057","alive","25-39","none","frontal","f",24,1987,"none","driver"
"3243","alive","25-39","belted","frontal","f",21,1995,"airbag","driver"
"22184","alive","55+","belted","frontal","m",45,1993,"airbag","driver"
"14232","alive","25-39","belted","notfrontal","f",73,1997,"airbag","driver"
"15091","alive","10-24","belted","frontal","f",23,1996,"airbag","pass"
"17450","dead","40-54","none","notfrontal","m",85,1988,"none","driver"
"23552","alive","25-39","belted","frontal","m",30,2001,"airbag","driver"
"13396","alive","10-24","none","frontal","f",57,1988,"none","driver"
"15339","alive","10-24","belted","notfrontal","f",51,1990,"none","driver"
"20484","alive","40-54","none","frontal","m",24,1992,"none","driver"
"7754","alive","10-24","belted","notfrontal","f",34,1993,"airbag","driver"
"25332","alive","25-39","belted","notfrontal","m",16,1991,"none","pass"
"5023","dead","25-39","none","notfrontal","m",34,1996,"airbag","driver"
"7254","alive","10-24","belted","frontal","m",21,1995,"airbag","driver"
"9318","alive","40-54","belted","frontal","f",16,1991,"airbag","driver"
"13893","alive","40-54","belted","frontal","m",49,1995,"airbag","driver"
"4008","alive","10-24","belted","frontal","f",66,1990,"none","driver"
"25073","alive","1-9km/h","belted","notfrontal","m",42,2003,"airbag","driver"
"19798","alive","25-39","none","frontal","m",85,1993,"none","driver"
"7001","dead","55+","none","frontal","m",39,1992,"none","driver"
"23838","alive","55+","none","frontal","m",19,1991,"airbag","driver"
"5052","alive","10-24","belted","frontal","m",19,1988,"none","driver"
"5372","alive","10-24","belted","frontal","f",72,1983,"none","driver"
"471","alive","25-39","none","frontal","m",20,1994,"airbag","driver"
"21009","alive","10-24","none","frontal","f",18,1997,"airbag","driver"
"15992","alive","25-39","belted","frontal","f",24,1995,"airbag","driver"
"15971","alive","10-24","none","notfrontal","m",18,1987,"none","pass"
"20824","alive","10-24","belted","notfrontal","m",16,1995,"airbag","driver"
"9293","alive","10-24","belted","notfrontal","m",31,1997,"airbag","driver"
"10655","alive","10-24","belted","frontal","f",61,1994,"airbag","driver"
"4799","alive","10-24","none","notfrontal","m",76,1993,"none","driver"
"4486","dead","40-54","none","frontal","m",16,1987,"none","driver"
"22658","alive","10-24","belted","frontal","m",28,1997,"airbag","driver"
"11933","alive","40-54","none","frontal","m",25,1987,"none","driver"
"24481","alive","10-24","none","frontal","f",20,1993,"none","pass"
"13353","alive","25-39","belted","frontal","f",45,1998,"airbag","driver"
"4110","alive","10-24","belted","frontal","f",38,1992,"none","driver"
"2281","alive","55+","belted","frontal","m",20,1986,"none","driver"
"21168","alive","10-24","belted","frontal","f",21,1985,"none","driver"
"22841","alive","10-24","none","frontal","f",58,2001,"airbag","pass"
"5347","alive","10-24","belted","notfrontal","m",54,1983,"none","pass"
"155","alive","10-24","belted","frontal","m",67,1997,"airbag","driver"
"22973","alive","55+","belted","notfrontal","m",48,1993,"none","driver"
"8688","alive","10-24","none","frontal","f",26,1987,"none","driver"
"20990","dead","55+","belted","frontal","m",56,2001,"airbag","driver"
"9168","alive","10-24","belted","frontal","m",35,1991,"none","driver"
"26114","alive","10-24","belted","notfrontal","m",38,2002,"airbag","pass"
"14942","alive","10-24","belted","frontal","m",44,1996,"airbag","driver"
"6476","alive","10-24","belted","frontal","m",26,1989,"none","driver"
"16152","alive","40-54","none","notfrontal","f",23,1997,"airbag","driver"
"8419","alive","10-24","belted","notfrontal","f",63,1989,"none","pass"
"15589","alive","25-39","belted","frontal","m",43,1983,"none","driver"
"3612","alive","10-24","belted","notfrontal","f",75,1991,"none","driver"
"1991","alive","10-24","belted","frontal","m",34,1996,"airbag","driver"
"6809","alive","10-24","belted","notfrontal","f",51,1995,"airbag","driver"
"25535","alive","10-24","belted","notfrontal","m",42,1994,"airbag","driver"
"15164","alive","1-9km/h","belted","notfrontal","m",29,1993,"airbag","driver"
"11943","alive","25-39","none","frontal","m",32,1987,"none","pass"
"24616","alive","55+","none","frontal","m",37,1985,"none","driver"
"23542","alive","10-24","belted","notfrontal","m",44,1988,"none","driver"
"3564","alive","25-39","belted","frontal","m",72,1993,"none","driver"
"2548","alive","25-39","belted","frontal","m",49,1991,"none","pass"
"13288","alive","1-9km/h","belted","frontal","f",65,2000,"airbag","driver"
"10374","alive","25-39","belted","notfrontal","m",30,1986,"none","pass"
"9266","alive","25-39","none","frontal","m",39,1997,"airbag","driver"
"14227","alive","25-39","belted","frontal","m",37,2000,"airbag","driver"
"19374","alive","40-54","none","frontal","f",52,1998,"airbag","driver"
"23252","alive","25-39","belted","frontal","m",38,2000,"airbag","driver"
"18294","alive","25-39","belted","frontal","f",27,1997,"airbag","pass"
"17855","alive","10-24","belted","notfrontal","f",33,1998,"airbag","driver"
"23836","alive","10-24","belted","notfrontal","f",44,1991,"none","driver"
"15523","alive","25-39","none","frontal","m",51,1997,"airbag","driver"
"17162","dead","40-54","none","notfrontal","m",43,1966,"none","pass"
"17682","alive","10-24","none","notfrontal","m",23,1994,"airbag","driver"
"930","alive","10-24","none","frontal","m",31,1988,"none","driver"
"22077","alive","25-39","none","frontal","m",18,2001,"airbag","driver"
"15670","alive","55+","none","frontal","m",18,1999,"airbag","driver"
"5497","alive","25-39","none","notfrontal","m",18,1979,"none","driver"
"24469","alive","25-39","belted","notfrontal","m",43,2000,"airbag","driver"
"18572","alive","40-54","belted","notfrontal","m",33,1999,"airbag","pass"
"2553","alive","10-24","belted","notfrontal","m",19,1997,"airbag","driver"
"9435","alive","25-39","belted","notfrontal","f",49,1999,"airbag","driver"
"18190","alive","25-39","belted","notfrontal","f",32,1996,"airbag","driver"
"7456","alive","40-54","none","frontal","m",21,1996,"none","pass"
"16098","alive","10-24","belted","notfrontal","f",40,2000,"airbag","driver"
"7666","alive","1-9km/h","belted","frontal","m",39,1979,"none","driver"
"21324","alive","25-39","belted","frontal","f",72,1995,"airbag","driver"
"5837","alive","10-24","belted","frontal","f",21,1994,"airbag","driver"
"6882","alive","40-54","belted","frontal","f",84,1990,"none","pass"
"12176","alive","10-24","belted","frontal","m",22,1996,"airbag","pass"
"25953","alive","10-24","belted","frontal","m",51,1995,"airbag","driver"
"14363","alive","10-24","belted","frontal","f",31,1983,"none","driver"
"21006","alive","25-39","belted","frontal","m",17,2001,"airbag","driver"
"22657","dead","40-54","none","frontal","f",63,1998,"airbag","driver"
"5955","alive","10-24","belted","notfrontal","m",76,1994,"airbag","driver"
"19355","alive","25-39","none","frontal","m",31,1987,"none","driver"
"22682","alive","40-54","belted","frontal","f",17,1997,"airbag","driver"
"13326","alive","10-24","belted","frontal","f",29,1995,"airbag","driver"
"3714","alive","10-24","belted","frontal","f",46,1985,"none","pass"
"15985","alive","10-24","belted","frontal","m",49,2000,"none","pass"
"23141","alive","10-24","belted","notfrontal","f",84,1990,"none","driver"
"1412","alive","25-39","none","notfrontal","f",48,1992,"airbag","driver"
"7630","alive","10-24","none","frontal","m",27,1978,"none","driver"
"9286","alive","10-24","belted","notfrontal","f",51,1998,"airbag","driver"
"14444","alive","25-39","none","frontal","m",30,1990,"none","driver"
"8978","alive","10-24","belted","notfrontal","f",39,1993,"airbag","pass"
"3327","alive","25-39","none","frontal","f",17,1984,"none","pass"
"11026","alive","10-24","none","frontal","m",18,1996,"airbag","driver"
"12186","dead","40-54","none","frontal","f",78,1998,"airbag","pass"
"20908","alive","25-39","none","notfrontal","f",59,1997,"airbag","pass"
"256","alive","10-24","belted","notfrontal","f",76,1996,"airbag","pass"
"20372","alive","10-24","belted","notfrontal","f",20,1994,"airbag","driver"
"25394","alive","25-39","belted","frontal","f",17,1990,"none","pass"
"15806","alive","10-24","belted","notfrontal","f",32,1997,"airbag","driver"
"15169","alive","10-24","belted","notfrontal","f",17,1999,"airbag","driver"
"17100","alive","10-24","none","frontal","m",31,1997,"airbag","driver"
"19680","alive","25-39","none","frontal","m",16,1984,"none","driver"
"7605","alive","10-24","none","notfrontal","m",24,1985,"none","driver"
"6359","alive","25-39","belted","frontal","m",17,1988,"none","pass"
"9700","alive","40-54","belted","frontal","f",50,1985,"none","pass"
"10487","alive","10-24","belted","notfrontal","m",21,1995,"airbag","pass"
"23812","alive","25-39","belted","frontal","m",51,1987,"none","driver"
"11350","alive","10-24","none","frontal","f",24,1978,"none","driver"
"7174","alive","25-39","none","frontal","m",32,1990,"none","driver"
"19258","alive","25-39","none","frontal","m",39,1988,"none","driver"
"12338","alive","10-24","belted","frontal","m",83,1992,"none","pass"
"13962","alive","10-24","belted","frontal","f",53,1994,"none","driver"
"15396","alive","25-39","belted","frontal","m",39,1997,"airbag","pass"
"6068","alive","55+","belted","notfrontal","m",29,1996,"airbag","driver"
"24394","alive","25-39","none","frontal","m",25,1990,"airbag","driver"
"12475","alive","25-39","belted","notfrontal","m",28,1986,"none","driver"
"22132","alive","10-24","belted","frontal","f",25,1993,"airbag","driver"
"12297","alive","10-24","none","frontal","m",32,1985,"none","driver"
"25784","alive","10-24","belted","frontal","f",23,2000,"airbag","driver"
"645","alive","10-24","belted","frontal","f",19,1997,"airbag","driver"
"26095","alive","10-24","belted","notfrontal","m",69,1991,"airbag","driver"
"13780","alive","40-54","belted","notfrontal","m",80,1993,"none","driver"
"495","alive","25-39","none","frontal","m",28,1990,"airbag","driver"
"17268","alive","25-39","belted","frontal","f",45,1999,"airbag","pass"
"20533","alive","55+","none","notfrontal","f",60,1987,"none","driver"
"11851","alive","10-24","belted","frontal","m",40,1995,"airbag","driver"
"17055","alive","40-54","belted","frontal","f",44,1995,"none","driver"
"16298","alive","10-24","belted","notfrontal","m",58,1993,"airbag","driver"
"19306","alive","25-39","belted","frontal","m",19,1998,"airbag","driver"
"7405","alive","40-54","belted","frontal","f",20,1990,"none","driver"
"7929","alive","10-24","belted","notfrontal","f",18,1988,"none","driver"
"12435","alive","40-54","none","frontal","m",24,1991,"none","driver"
"17676","alive","10-24","belted","notfrontal","f",20,1999,"airbag","pass"
"11073","alive","55+","belted","frontal","m",65,1989,"none","driver"
"346","alive","10-24","belted","notfrontal","f",41,1997,"airbag","driver"
"2558","alive","55+","belted","frontal","m",21,1993,"none","driver"
"10789","dead","55+","belted","notfrontal","f",43,1991,"airbag","driver"
"5399","alive","25-39","none","frontal","m",19,1998,"airbag","driver"
"12742","alive","25-39","belted","frontal","f",48,1987,"none","pass"
"21754","alive","25-39","belted","frontal","m",18,1989,"none","driver"
"3443","alive","10-24","belted","frontal","f",33,1991,"airbag","driver"
"25981","alive","10-24","belted","frontal","f",17,1987,"none","pass"
"14171","alive","10-24","belted","frontal","f",26,1993,"none","driver"
"3573","alive","40-54","none","frontal","m",40,1984,"none","driver"
"5042","alive","10-24","none","frontal","f",73,1994,"airbag","driver"
"18178","alive","25-39","belted","frontal","m",30,1988,"none","driver"
"23570","alive","10-24","belted","frontal","f",47,1991,"none","pass"
"891","alive","40-54","belted","frontal","m",49,1997,"airbag","driver"
"14759","alive","40-54","none","frontal","f",19,1986,"none","pass"
"6596","alive","55+","none","frontal","m",22,1997,"airbag","driver"
"22513","alive","25-39","none","notfrontal","m",26,2000,"airbag","driver"
"8800","alive","10-24","belted","frontal","m",31,1997,"airbag","driver"
"7661","alive","25-39","belted","notfrontal","m",47,1994,"airbag","pass"
"13238","alive","55+","belted","frontal","f",55,1993,"airbag","driver"
"18455","alive","10-24","belted","notfrontal","m",44,1994,"none","driver"
"11750","alive","25-39","none","frontal","f",46,1999,"airbag","driver"
"4977","dead","10-24","belted","notfrontal","m",54,1995,"airbag","driver"
"13933","alive","25-39","belted","frontal","f",34,1996,"airbag","pass"
"4589","alive","10-24","belted","notfrontal","f",42,1993,"none","driver"
"16534","alive","25-39","none","notfrontal","m",31,1987,"none","driver"
"11584","alive","25-39","belted","frontal","m",61,1998,"airbag","driver"
"21351","alive","25-39","belted","frontal","f",25,1990,"none","driver"
"1885","alive","40-54","none","frontal","m",21,1991,"none","driver"
"22058","alive","10-24","belted","frontal","m",51,1999,"airbag","driver"
"10212","alive","55+","none","frontal","m",34,1995,"airbag","driver"
"5410","alive","10-24","belted","frontal","m",20,1993,"airbag","driver"
"12228","alive","1-9km/h","belted","notfrontal","m",20,1998,"airbag","driver"
"17009","alive","1-9km/h","belted","frontal","f",17,1993,"airbag","driver"
"10694","dead","25-39","none","notfrontal","m",22,1981,"none","driver"
"3033","alive","25-39","none","frontal","m",33,1994,"airbag","driver"
"5123","alive","25-39","none","frontal","m",22,1996,"airbag","driver"
"23788","alive","10-24","belted","notfrontal","m",44,2003,"airbag","pass"
"3366","alive","25-39","none","frontal","f",20,1991,"none","driver"
"22133","alive","10-24","belted","notfrontal","f",44,1999,"airbag","driver"
"23092","alive","10-24","belted","frontal","m",37,2002,"airbag","driver"
"6969","alive","10-24","belted","notfrontal","f",29,1996,"airbag","pass"
"25790","alive","25-39","belted","frontal","f",37,1994,"none","driver"
"6848","alive","25-39","belted","notfrontal","m",49,1993,"none","driver"
"513","alive","25-39","belted","notfrontal","m",37,1994,"airbag","driver"
"24841","alive","10-24","none","notfrontal","m",26,1998,"airbag","driver"
"24974","alive","10-24","belted","notfrontal","m",45,1998,"airbag","driver"
"13223","alive","25-39","belted","notfrontal","m",77,1995,"airbag","driver"
"10525","alive","40-54","belted","notfrontal","f",41,1996,"airbag","driver"
